"","predicted.Sub_cell_type","predicted.Sub_cell_type_organ","predicted.Main_cell_type.score","predicted.Sub_cell_type.score","predicted.Sub_cell_type_organ.score","mapping.score","Azimuth.Pansci.Class","Azimuth.Pansci.Subclass","Azimuth.Cortex.Class","Azimuth.Cortex.Subclass","RNA.class_label","RNA.class_name","RNA.class_bootstrapping_probability","RNA.subclass_label","RNA.subclass_name","RNA.subclass_bootstrapping_probability","RNA.supertype_label","RNA.supertype_name","RNA.supertype_bootstrapping_probability","RNA.cluster_label","RNA.cluster_name","RNA.cluster_alias","RNA.cluster_bootstrapping_probability","mCG.class_label","mCG.class_name","mCG.class_bootstrapping_probability","mCG.subclass_label","mCG.subclass_name","mCG.subclass_bootstrapping_probability","mCG.supertype_label","mCG.supertype_name","mCG.supertype_bootstrapping_probability","mCG.cluster_label","mCG.cluster_name","mCG.cluster_alias","mCG.cluster_bootstrapping_probability","Brainmap.RNA.Class","Brainmap.RNA.Subclass","Brainmap.mCG.Class","Brainmap.mCG.Subclass","seurat_clusters","cell_type"
"20230125-Yang-Kil-Het-F-H11-P2-C03_S27_P20","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.740235465392749,0.496284899382609,0.496284899382609,0.91030756397194,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_023","023 SUB-ProS Glut",0.99,"CS20230722_SUPT_0097","0097 SUB-ProS Glut_2",1,"CS20230722_CLUS_0388","0388 SUB-ProS Glut_2",333,1,"CS20230722_CLAS_24","24 MY Glut",0.95,"CS20230722_SUBC_261","261 HB Calcb Chol",0.88,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",1,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-Kil-Het-F-H11-P2-C03_S27_P21","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.798413546456279,0.798413546456279,0.798413546456279,0.93082186244052,"Dentate gyrus neurons","Dentate gyrus neurons_8","Glutamatergic","Meis2","CS20230722_CLAS_04","04 DG-IMN Glut",1,"CS20230722_SUBC_038","038 DG-PIR Ex IMN",1,"CS20230722_SUPT_0141","0141 DG-PIR Ex IMN_2",1,"CS20230722_CLUS_0515","0515 DG-PIR Ex IMN_2",1408,1,"CS20230722_CLAS_23","23 P Glut",0.61,"CS20230722_SUBC_222","222 PB Evx2 Glut",0.57,"CS20230722_SUPT_0922","0922 PB Evx2 Glut_9",0.58,"CS20230722_CLUS_4088","4088 PB Evx2 Glut_9",24662,0.58,"04 DG-IMN Glut","038 DG-PIR Ex IMN","24 MY Glut","261 HB Calcb Chol","12","Meis2"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A2","Cortical projection neurons 1_11","Cortical projection neurons 1_11_Brain",0.872274103412022,0.252147554295963,0.252147554295963,0.841696137262668,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_13","13 CNU-HYa Glut",0.63,"CS20230722_SUBC_121","121 MEA-BST Otp Zic2 Glut",0.94,"CS20230722_SUPT_0539","0539 MEA-BST Otp Zic2 Glut_1",0.98,"CS20230722_CLUS_2211","2211 MEA-BST Otp Zic2 Glut_1",2486,0.98,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A4","Interneurons 1_6","Interneurons 1_6_Brain",1,0.355025581246494,0.355025581246494,0.954012019047577,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",0.96,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0220","0220 Sst Gaba_7",0.8,"CS20230722_CLUS_0792","0792 Sst Gaba_7",506,0.8,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.82,"CS20230722_SUBC_090","090 BST-MPN Six3 Nrgn Gaba",0.77,"CS20230722_SUPT_0422","0422 BST-MPN Six3 Nrgn Gaba_3",0.44,"CS20230722_CLUS_1542","1542 BST-MPN Six3 Nrgn Gaba_3",1526,0.44,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A5","Cortical projection neurons 1_16","Cortical projection neurons 1_16_Brain",0.93128095334037,0.395406102239924,0.395406102239924,0.751712422618989,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",0.97,"CS20230722_SUBC_007","007 L2/3 IT CTX Glut",1,"CS20230722_SUPT_0030","0030 L2/3 IT CTX Glut_2",0.68,"CS20230722_CLUS_0110","0110 L2/3 IT CTX Glut_2",233,0.68,"CS20230722_CLAS_19","19 MB Glut",0.9,"CS20230722_SUBC_157","157 RN Spp1 Glut",0.7,"CS20230722_SUPT_0682","0682 RN Spp1 Glut_1",1,"CS20230722_CLUS_2761","2761 RN Spp1 Glut_1",8215,1,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A6","Cortical projection neurons 1_11","Cortical projection neurons 1_11_Brain",0.935877277044149,0.2851870221951,0.2851870221951,0.849564781569461,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_19","19 MB Glut",0.85,"CS20230722_SUBC_176","176 SCig Foxb1 Glut",1,"CS20230722_SUPT_0760","0760 SCig Foxb1 Glut_1",0.98,"CS20230722_CLUS_3215","3215 SCig Foxb1 Glut_1",4948,0.98,"CS20230722_CLAS_19","19 MB Glut",0.52,"CS20230722_SUBC_157","157 RN Spp1 Glut",1,"CS20230722_SUPT_0682","0682 RN Spp1 Glut_1",1,"CS20230722_CLUS_2761","2761 RN Spp1 Glut_1",8215,1,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A7","Striatal neurons 1_13","Striatal neurons 1_13_Brain",0.847466787348738,0.248196302370702,0.248196302370702,0.94688070944576,"Striatal neurons 1","Striatal neurons 1_13","GABAergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",0.95,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",0.93,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",0.56,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"09 CNU-LGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","7","L5 ET"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A8","Cortical projection neurons 1_21","Cortical projection neurons 1_21_Brain",0.905376742219827,0.300503980022443,0.300503980022443,0.974872323825138,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.51,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_24","24 MY Glut",1,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.87,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.87,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A9","Interneurons 1_15","Interneurons 1_15_Brain",0.981471243042229,0.605265055717764,0.605265055717764,0.99333320626358,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",1,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0214","0214 Sst Gaba_1",1,"CS20230722_CLUS_0758","0758 Sst Gaba_1",554,1,"CS20230722_CLAS_01","01 IT-ET Glut",0.8,"CS20230722_SUBC_012","012 MEA Slc17a7 Glut",0.64,"CS20230722_SUPT_0056","0056 MEA Slc17a7 Glut_2",0.35,"CS20230722_CLUS_0209","0209 MEA Slc17a7 Glut_2",488,0.35,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A10","Interbrain and midbrain neurons 2_1","Interbrain and midbrain neurons 2_1_Brain",0.667870054849726,0.150156713740199,0.150156713740199,0.968667210086902,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_07","07 CTX-MGE GABA",0.68,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0214","0214 Sst Gaba_1",0.9,"CS20230722_CLUS_0760","0760 Sst Gaba_1",556,0.9,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.38,"CS20230722_SUBC_076","076 MEA-BST Lhx6 Nfib Gaba",0.76,"CS20230722_SUPT_0358","0358 MEA-BST Lhx6 Nfib Gaba_2",0.42,"CS20230722_CLUS_1291","1291 MEA-BST Lhx6 Nfib Gaba_2",1229,0.42,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A12","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.581997500254758,0.202499968189936,0.202499968189936,0.938512598034697,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_19","19 MB Glut",0.81,"CS20230722_SUBC_176","176 SCig Foxb1 Glut",0.97,"CS20230722_SUPT_0760","0760 SCig Foxb1 Glut_1",1,"CS20230722_CLUS_3215","3215 SCig Foxb1 Glut_1",4948,1,"CS20230722_CLAS_24","24 MY Glut",0.64,"CS20230722_SUBC_257","257 SPVC Ccdc172 Glut",0.84,"CS20230722_SUPT_1020","1020 SPVC Ccdc172 Glut_1",0.94,"CS20230722_CLUS_4586","4586 SPVC Ccdc172 Glut_1",4335,0.94,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A13","Interneurons 1_2","Interneurons 1_2_Brain",0.965995136949626,0.237904458755019,0.237904458755019,0.965580465936075,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_20","20 MB GABA",0.49,"CS20230722_SUBC_213","213 SCsg Gabrr2 Gaba",0.89,"CS20230722_SUPT_0872","0872 SCsg Gabrr2 Gaba_1",1,"CS20230722_CLUS_3806","3806 SCsg Gabrr2 Gaba_1",3595,1,"CS20230722_CLAS_24","24 MY Glut",0.65,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",0.96,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",0.97,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,0.97,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A14","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.4755325825364,0.291567833362364,0.291567833362364,0.955160243252234,"Interbrain and midbrain neurons 2","Interbrain and midbrain neurons 2_12","Glutamatergic","L5 IT","CS20230722_CLAS_20","20 MB GABA",0.61,"CS20230722_SUBC_213","213 SCsg Gabrr2 Gaba",1,"CS20230722_SUPT_0872","0872 SCsg Gabrr2 Gaba_1",1,"CS20230722_CLUS_3806","3806 SCsg Gabrr2 Gaba_1",3595,1,"CS20230722_CLAS_27","27 MY GABA",0.83,"CS20230722_SUBC_305","305 SPVI-SPVC Sall3 Nfib Gly-Gaba",0.6,"CS20230722_SUPT_1136","1136 SPVI-SPVC Sall3 Nfib Gly-Gaba_1",0.86,"CS20230722_CLUS_5129","5129 SPVI-SPVC Sall3 Nfib Gly-Gaba_1",4211,0.86,"24 MY Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","16","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A15","Interbrain and midbrain neurons 2_19","Interbrain and midbrain neurons 2_19_Brain",0.586177228108414,0.282765515422226,0.282765515422226,0.928899471780746,"Cortical projection neurons 1","Cortical projection neurons 1_12","Glutamatergic","L5 IT","CS20230722_CLAS_14","14 HY Glut",0.4,"CS20230722_SUBC_141","141 PH-SUM Foxa1 Glut",0.77,"CS20230722_SUPT_0623","0623 PH-SUM Foxa1 Glut_2",0.97,"CS20230722_CLUS_2542","2542 PH-SUM Foxa1 Glut_2",2365,0.97,"CS20230722_CLAS_24","24 MY Glut",0.88,"CS20230722_SUBC_261","261 HB Calcb Chol",0.63,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.94,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.94,"01 IT-ET Glut","009 L2/3 IT PIR-ENTl Glut","24 MY Glut","261 HB Calcb Chol","14","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A16","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.495622218690014,0.342273219293347,0.342273219293347,0.886304108029478,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_20","20 MB GABA",0.49,"CS20230722_SUBC_213","213 SCsg Gabrr2 Gaba",1,"CS20230722_SUPT_0872","0872 SCsg Gabrr2 Gaba_1",1,"CS20230722_CLUS_3806","3806 SCsg Gabrr2 Gaba_1",3595,1,"CS20230722_CLAS_21","21 MB Dopa",0.5,"CS20230722_SUBC_215","215 SNc-VTA-RAmb Foxa1 Dopa",1,"CS20230722_SUPT_0880","0880 SNc-VTA-RAmb Foxa1 Dopa_1",0.76,"CS20230722_CLUS_3839","3839 SNc-VTA-RAmb Foxa1 Dopa_1",2419,0.76,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A17","Cortical projection neurons 2_12","Cortical projection neurons 2_12_Brain",0.739790692503865,0.432279514430402,0.432279514430402,0.903281461121834,"Cortical projection neurons 1","Cortical projection neurons 1_21","Glutamatergic","L5 ET","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.98,"CS20230722_SUBC_032","032 L5 NP CTX Glut",0.96,"CS20230722_SUPT_0125","0125 L5 NP CTX Glut_4",1,"CS20230722_CLUS_0472","0472 L5 NP CTX Glut_4",56,1,"CS20230722_CLAS_24","24 MY Glut",0.67,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.74,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.74,"01 IT-ET Glut","019 L2/3 IT PPP Glut","24 MY Glut","261 HB Calcb Chol","6","L5 ET"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A18","Interbrain and midbrain neurons 2_3","Interbrain and midbrain neurons 2_3_Brain",0.791992775701214,0.190262638135772,0.190262638135772,0.943625108410653,"Interneurons 2","OB neurons 1_11","GABAergic","L5 ET","CS20230722_CLAS_09","09 CNU-LGE GABA",0.94,"CS20230722_SUBC_059","059 GPe-SI Sox6 Cyp26b1 Gaba",1,"CS20230722_SUPT_0258","0258 GPe-SI Sox6 Cyp26b1 Gaba_2",0.64,"CS20230722_CLUS_0920","0920 GPe-SI Sox6 Cyp26b1 Gaba_2",1180,0.64,"CS20230722_CLAS_24","24 MY Glut",0.99,"CS20230722_SUBC_261","261 HB Calcb Chol",0.97,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",1,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,1,"06 CTX-CGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","3","L5 ET"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A19","Interneurons 1_7","Interneurons 1_7_Brain",1,0.547146397357466,0.547146397357466,0.952308461919866,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",0.57,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0229","0229 Sst Gaba_16",0.88,"CS20230722_CLUS_0821","0821 Sst Gaba_16",527,0.88,"CS20230722_CLAS_24","24 MY Glut",0.94,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.91,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.91,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A20","Cortical projection neurons 1_11","Cortical projection neurons 1_11_Brain",0.933392646216626,0.55852832750618,0.55852832750618,0.947877504021551,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",0.93,"CS20230722_SUBC_005","005 L5 IT CTX Glut",0.8,"CS20230722_SUPT_0022","0022 L5 IT CTX Glut_5",1,"CS20230722_CLUS_0065","0065 L5 IT CTX Glut_5",102,1,"CS20230722_CLAS_24","24 MY Glut",0.99,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.78,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.78,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A21","Astrocytes_14","Astrocytes_14_Brain",0.970463022826902,0.236594152112865,0.236594152112865,0.941654803889361,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.91,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_24","24 MY Glut",0.68,"CS20230722_SUBC_261","261 HB Calcb Chol",0.99,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.86,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.86,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A22","Oligodendrocyte progenitor cells_6","Oligodendrocyte progenitor cells_6_Brain",0.938500490028982,0.399276791272812,0.399276791272812,0.987059431963553,"Cortical projection neurons 1","Dentate gyrus neurons_8","Glutamatergic","L5 ET","CS20230722_CLAS_31","31 OPC-Oligo",1,"CS20230722_SUBC_326","326 OPC NN",1,"CS20230722_SUPT_1179","1179 OPC NN_1",1,"CS20230722_CLUS_5270","5270 OPC NN_1",5207,1,"CS20230722_CLAS_09","09 CNU-LGE GABA",0.56,"CS20230722_SUBC_059","059 GPe-SI Sox6 Cyp26b1 Gaba",0.89,"CS20230722_SUPT_0258","0258 GPe-SI Sox6 Cyp26b1 Gaba_2",0.99,"CS20230722_CLUS_0920","0920 GPe-SI Sox6 Cyp26b1 Gaba_2",1180,0.99,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","8","Astro"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A23","Astrocytes_14","Astrocytes_14_Brain",0.973698958472784,0.368173798622884,0.368173798622884,0.966349540581081,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_30","30 Astro-Epen",0.58,"CS20230722_SUBC_319","319 Astro-TE NN",0.96,"CS20230722_SUPT_1163","1163 Astro-TE NN_3",1,"CS20230722_CLUS_5227","5227 Astro-TE NN_3",14947,1,"CS20230722_CLAS_24","24 MY Glut",0.28,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",0.74,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_A24","Astrocytes_14","Astrocytes_14_Brain",0.948029413707174,0.459093708340875,0.459093708340875,0.990482112373662,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_31","31 OPC-Oligo",0.55,"CS20230722_SUBC_326","326 OPC NN",1,"CS20230722_SUPT_1179","1179 OPC NN_1",1,"CS20230722_CLUS_5270","5270 OPC NN_1",5207,1,"CS20230722_CLAS_08","08 CNU-MGE GABA",0.49,"CS20230722_SUBC_057","057 NDB-SI-MA-STRv Lhx8 Gaba",0.74,"CS20230722_SUPT_0254","0254 NDB-SI-MA-STRv Lhx8 Gaba_11",0.84,"CS20230722_CLUS_0915","0915 NDB-SI-MA-STRv Lhx8 Gaba_11",833,0.84,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_B1","Cortical projection neurons 1_11","Cortical projection neurons 1_11_Brain",0.456507568696315,0.235769657301866,0.235769657301866,0.85436891405116,"Interbrain and midbrain neurons 2","Interbrain and midbrain neurons 2_12","Glutamatergic","L5 IT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.8,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_24","24 MY Glut",1,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.75,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.75,"24 MY Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","16","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_B2","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.604810259224854,0.232393499651,0.232393499651,0.873293513767985,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_006","006 L4/5 IT CTX Glut",0.54,"CS20230722_SUPT_0025","0025 L4/5 IT CTX Glut_3",1,"CS20230722_CLUS_0083","0083 L4/5 IT CTX Glut_3",152,1,"CS20230722_CLAS_12","12 HY GABA",0.78,"CS20230722_SUBC_106","106 PVpo-VMPO-MPN Hmx2 Gaba",0.66,"CS20230722_SUPT_0482","0482 PVpo-VMPO-MPN Hmx2 Gaba_1",0.53,"CS20230722_CLUS_1887","1887 PVpo-VMPO-MPN Hmx2 Gaba_1",1850,0.53,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_B3","Interbrain and midbrain neurons 2_8","Interbrain and midbrain neurons 2_8_Brain",0.504413063788462,0.248278099055146,0.248278099055146,0.886635357897617,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_24","24 MY Glut",0.38,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_14","14 HY Glut",0.34,"CS20230722_SUBC_126","126 ARH-PVp Tbx3 Glut",1,"CS20230722_SUPT_0554","0554 ARH-PVp Tbx3 Glut_1",1,"CS20230722_CLUS_2276","2276 ARH-PVp Tbx3 Glut_1",1974,1,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_B4","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.452218113641196,0.227442194126878,0.227442194126878,0.87325305407495,"Interbrain and midbrain neurons 2","Interbrain and midbrain neurons 2_12","Glutamatergic","L5 IT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.77,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_24","24 MY Glut",0.65,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.98,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.98,"24 MY Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","16","L5 IT"
"20230125-Yang-Kil-Het-M-C23-P1-B11_S23_B5","Cortical projection neurons 1_21","Cortical projection neurons 1_21_Brain",0.874557806112153,0.769412029051485,0.769412029051485,0.968540227065176,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_26","26 P GABA",0.96,"CS20230722_SUBC_268","268 CS-PRNr-DR En1 Sox2 Gaba",0.4,"CS20230722_SUPT_1048","1048 CS-PRNr-DR En1 Sox2 Gaba_2",0.49,"CS20230722_CLUS_4699","4699 CS-PRNr-DR En1 Sox2 Gaba_2",3188,0.49,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
